,unixtime,price,amount
407,1714362875,62579.0,0.00075
408,1714362848,62567.0,0.15982866
409,1714362848,62567.0,0.03995765
410,1714362796,62594.0,0.00115365
411,1714362785,62558.0,0.00270643
412,1714362776,62554.0,0.06396741
413,1714362772,62568.0,0.00015146
414,1714362766,62605.0,0.00604
415,1714362762,62608.0,0.11122057
416,1714362759,62611.0,0.0016636
417,1714362734,62590.0,0.0399429
418,1714362733,62590.0,0.0399429
419,1714362723,62586.0,0.00955334
420,1714362691,62588.0,0.03994425
421,1714362678,62595.0,0.00464
422,1714362654,62587.0,0.02351
423,1714362647,62587.0,0.00048053
424,1714362643,62586.0,0.00029719
425,1714362642,62586.0,0.00277595
426,1714362633,62601.0,0.00040519
427,1714362632,62601.0,0.0004428
428,1714362622,62619.0,0.0037515
429,1714362617,62645.0,0.00039
430,1714362600,62645.0,0.0026112
431,1714362600,62646.0,0.00378167
432,1714362599,62645.0,0.03990741
433,1714362588,62647.0,0.0005
434,1714362571,62652.0,0.0060541
435,1714362562,62656.0,0.0146
436,1714362554,62642.0,0.08
437,1714362540,62641.0,0.00032445
438,1714362536,62644.0,0.09581424
439,1714362536,62642.0,0.03990992
440,1714362525,62642.0,0.03990965
441,1714362521,62639.0,0.00791
442,1714362475,62660.0,0.03989818
443,1714362458,62655.0,0.00371
444,1714362443,62667.0,4.5e-06
445,1714362443,62664.0,0.0398955
446,1714362424,62647.0,0.00302719
447,1714362416,62651.0,0.0042887
448,1714362412,62654.0,0.03990187
449,1714362412,62656.0,0.159602
450,1714362412,62653.0,0.03990288
451,1714362405,62650.0,0.00104
452,1714362394,62658.0,0.00574
453,1714362394,62640.0,8.333e-05
454,1714362394,62640.0,0.0145
455,1714362370,62596.0,0.03
456,1714362349,62608.0,0.13703358
457,1714362349,62608.0,0.03993099
458,1714362315,62617.0,0.05318127
459,1714362315,62617.0,0.00433373
460,1714362315,62619.0,0.15969573
461,1714362315,62621.0,0.0043349
462,1714362315,62621.0,0.04781
463,1714362315,62628.0,0.006169
464,1714362304,62647.0,0.01387896
465,1714362304,62647.0,0.006169
466,1714362300,62657.0,0.0026112
467,1714362289,62656.0,0.05038557
468,1714362289,62650.0,0.00138557
469,1714362289,62649.0,0.041
470,1714362284,62642.0,0.0215
471,1714362277,62662.0,0.0006054
472,1714362247,62622.0,0.03992245
473,1714362227,62675.0,0.03988872
474,1714362227,62675.0,0.02771132
475,1714362227,62675.0,0.06190308
476,1714362227,62674.0,0.055
477,1714362224,62674.0,0.00229
478,1714362192,62660.0,0.0398984
479,1714362192,62659.0,0.059
480,1714362177,62657.0,0.00762
481,1714362152,62658.0,0.00359
482,1714362151,62656.0,0.00167
483,1714362133,62656.0,0.0061727
484,1714362133,62649.0,0.01207174
485,1714362131,62649.0,0.06492826
486,1714362127,62651.0,0.00228
487,1714362112,62653.0,0.00039143
488,1714362103,62658.0,0.029858
489,1714362102,62658.0,0.029858
490,1714362102,62654.0,0.055
491,1714362082,62636.0,0.00317827
492,1714362075,62610.0,0.01422592
493,1714362073,62609.0,0.00039016
494,1714362060,62610.0,0.00035741
495,1714362050,62617.0,0.00032462
496,1714362041,62625.0,0.00036435
497,1714362041,62608.0,0.069
498,1714362000,62645.0,0.0026112
499,1714361983,62650.0,0.00015136
500,1714361978,62654.0,0.08891766
501,1714361978,62651.0,0.03990412
502,1714361914,62588.0,0.075
503,1714361862,62568.0,0.00316595
504,1714361842,62559.0,0.027
505,1714361837,62550.0,0.01596036
506,1714361831,62503.0,0.00240997
507,1714361830,62504.0,0.03999678
508,1714361793,62543.0,0.00066
509,1714361783,62516.0,0.024
510,1714361772,62524.0,0.00087
511,1714361768,62494.0,0.066892
512,1714361768,62494.0,0.029858
513,1714361757,62492.0,0.029858
514,1714361757,62492.0,0.04000512
515,1714361753,62484.0,0.07
516,1714361745,62492.0,0.02
517,1714361745,62495.0,0.02
518,1714361732,62520.0,9.881e-05
519,1714361732,62520.0,0.2164
520,1714361732,62520.0,0.1611
521,1714361717,62489.0,0.02
522,1714361716,62479.0,0.1592995
523,1714361708,62491.0,0.08509666
524,1714361708,62488.0,0.00032
525,1714361708,62477.0,0.01458334
526,1714361706,62450.0,0.14540572
527,1714361705,62450.0,0.00670279
528,1714361705,62450.0,0.34
529,1714361705,62450.0,0.62444606
530,1714361705,62450.0,0.60110574
531,1714361705,62450.0,0.00449325
532,1714361705,62450.0,0.00220883
533,1714361704,62457.0,0.0173888
534,1714361700,62457.0,0.0026112
535,1714361699,62458.0,0.17840077
536,1714361699,62458.0,0.0019324
537,1714361699,62459.0,0.029858
538,1714361699,62465.0,0.00220816
539,1714361691,62473.0,0.00193178
540,1714361691,62473.0,0.18369303
541,1714361688,62475.0,0.01325813
542,1714361688,62475.0,0.029858
543,1714361688,62476.0,0.24008297
544,1714361684,62473.0,0.34022907
545,1714361684,62475.0,0.00039008
546,1714361683,62480.0,0.00220742
547,1714361682,62488.0,0.00193117
548,1714361682,62495.0,0.06199199
549,1714361667,62503.0,0.15999232
550,1714361667,62501.0,0.03999948
551,1714361640,62539.0,0.00068
552,1714361619,62567.0,0.00202
553,1714361608,62603.0,0.06392242
554,1714361594,62619.0,0.009172
555,1714361594,62621.0,0.029858
556,1714361594,62621.0,0.00838
557,1714361585,62637.0,0.008378
558,1714361584,62638.0,0.00150888
559,1714361528,62674.0,0.081
560,1714361502,62654.0,0.00168
561,1714361498,62653.0,0.00506
562,1714361490,62664.0,0.00191763
563,1714361478,62639.0,0.00030282
564,1714361447,62623.0,0.00656
565,1714361419,62624.0,0.15968318
566,1714361419,62624.0,0.03992079
567,1714361413,62637.0,0.009634
568,1714361413,62630.0,0.01458333
569,1714361411,62628.0,0.00109413
570,1714361405,62646.0,0.0003815
571,1714361400,62650.0,0.0026112
572,1714361400,62665.0,0.01546237
573,1714361400,62662.0,0.1612
574,1714361400,62653.0,0.03990281
575,1714361366,62634.0,0.00352
576,1714361352,62613.0,0.00030303
577,1714361334,62545.0,0.057
578,1714361307,62570.0,0.00291
579,1714361302,62585.0,0.076
580,1714361295,62603.0,0.00302611
581,1714361294,62628.0,0.02
582,1714361292,62636.0,0.02
583,1714361290,62643.0,0.02
584,1714361290,62644.0,0.02
585,1714361210,62691.0,0.00272284
586,1714361203,62698.0,0.00052
587,1714361189,62688.0,0.00458
588,1714361177,62679.0,0.00302533
589,1714361177,62679.0,0.00715
590,1714361177,62678.0,0.022
591,1714361148,62654.0,0.041
592,1714361140,62654.0,0.03990168
593,1714361136,62667.0,0.007461
594,1714361130,62668.0,0.0017
595,1714361128,62676.0,0.02
596,1714361128,62676.0,0.02
597,1714361118,62698.0,0.03987565
598,1714361118,62698.0,1.3e-06
599,1714361118,62697.0,0.03987435
600,1714361110,62723.0,0.00022347
601,1714361110,62720.0,0.00192179
602,1714361110,62713.0,9.667e-05
603,1714361110,62713.0,0.0021
604,1714361108,62705.0,0.00014661
